brand_name,generic_name,year,drug_class,matched_terms,marketed_name_type,scope_status
Veo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Veo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Veo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Dapagliflozin-Metformin Er,Dapaglifloz Propaned/Metformin,2024,Biguanides,metformin,brand-identifiable,included
Xigduo Xr,Dapaglifloz Propaned/Metformin,2023,Biguanides,metformin,brand-identifiable,included
Xigduo Xr,Dapaglifloz Propaned/Metformin,2024,Biguanides,metformin,brand-identifiable,included
Trijardy Xr,Empaglifloz/Linaglip/Metformin,2022,Biguanides,metformin,brand-identifiable,included
Trijardy Xr,Empaglifloz/Linaglip/Metformin,2023,Biguanides,metformin,brand-identifiable,included
Trijardy Xr,Empaglifloz/Linaglip/Metformin,2024,Biguanides,metformin,brand-identifiable,included
Glipizide-Metformin,Glipizide/Metformin Hcl,2022,Biguanides,glipizide|metformin,brand-identifiable,included
Glipizide-Metformin,Glipizide/Metformin Hcl,2023,Biguanides,glipizide|metformin,brand-identifiable,included
Glipizide-Metformin,Glipizide/Metformin Hcl,2024,Biguanides,glipizide|metformin,brand-identifiable,included
Glyburide-Metformin Hcl,Glyburide/Metformin Hcl,2022,Biguanides,glyburide|metformin,generic-name listed,included
Glyburide-Metformin Hcl,Glyburide/Metformin Hcl,2023,Biguanides,glyburide|metformin,generic-name listed,included
Glyburide-Metformin Hcl,Glyburide/Metformin Hcl,2024,Biguanides,glyburide|metformin,generic-name listed,included
Glumetza,Metformin Hcl,2022,Biguanides,metformin,brand-identifiable,included
Glumetza,Metformin Hcl,2023,Biguanides,metformin,brand-identifiable,included
Glumetza,Metformin Hcl,2024,Biguanides,metformin,brand-identifiable,included
Metformin Er Gastric,Metformin Hcl,2022,Biguanides,metformin,brand-identifiable,included
Metformin Er Gastric,Metformin Hcl,2023,Biguanides,metformin,brand-identifiable,included
Metformin Er Gastric,Metformin Hcl,2024,Biguanides,metformin,brand-identifiable,included
Metformin Er Osmotic,Metformin Hcl,2022,Biguanides,metformin,brand-identifiable,included
Metformin Er Osmotic,Metformin Hcl,2023,Biguanides,metformin,brand-identifiable,included
Metformin Er Osmotic,Metformin Hcl,2024,Biguanides,metformin,brand-identifiable,included
Metformin Hcl,Metformin Hcl,2022,Biguanides,metformin,generic-name listed,included
Metformin Hcl,Metformin Hcl,2023,Biguanides,metformin,generic-name listed,included
Metformin Hcl,Metformin Hcl,2024,Biguanides,metformin,generic-name listed,included
Metformin Hcl Er,Metformin Hcl,2022,Biguanides,metformin,brand-identifiable,included
Metformin Hcl Er,Metformin Hcl,2023,Biguanides,metformin,brand-identifiable,included
Metformin Hcl Er,Metformin Hcl,2024,Biguanides,metformin,brand-identifiable,included
Actoplus Met,Pioglitazone Hcl/Metformin Hcl,2022,Biguanides,metformin|pioglitazone,brand-identifiable,included
Actoplus Met,Pioglitazone Hcl/Metformin Hcl,2023,Biguanides,metformin|pioglitazone,brand-identifiable,included
Actoplus Met,Pioglitazone Hcl/Metformin Hcl,2024,Biguanides,metformin|pioglitazone,brand-identifiable,included
